,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Kosovo,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,4.6,-0.4,2.6,0.6,4.5,3.6,8.3,1.8,5.0,4.9,6.3,1.7,5.3,3.3,5.9,5.6,4.8,3.4,4.8,-5.3,10.7,2.7,3.5,3.796594653103961,3.796594653103961,3.796594653103961,3.796594653103961,3.796594653103961
Kuwait,-20.4,-18.9,-9.5,5.3,5.2,-4.3,8.6,8.1,-10.0,25.9,-26.2,-41.0,82.8,35.1,8.6,1.7,0.6,2.5,3.7,-1.8,4.7,0.2,3.0,17.3,10.8,10.1,7.5,6.0,2.5,-7.1,-2.4,9.6,6.6,1.2,0.5,0.6,2.9,-4.7,2.4,-0.6,-8.9,1.3,8.2,0.9,3.310482931745059,3.310482931745059,3.310482931745059,3.310482931745059,3.310482931745059
Kyrgyz Republic,-1.9,-0.2,0.4,0.7,0.3,1.2,2.0,-0.1,3.3,4.3,8.7,8.5,4.9,-13.0,-19.8,-5.4,7.1,9.9,2.1,3.7,5.4,5.3,0.0,7.0,7.0,-0.2,3.1,8.5,7.6,2.9,-0.5,6.0,-0.1,10.9,4.0,3.9,4.3,4.7,3.5,4.6,-8.6,3.7,7.0,3.5,2.472206297294099,2.472206297294099,2.472206297294099,2.472206297294099,2.472206297294099
Lao P.D.R.,10.0,15.3,4.7,3.0,6.4,9.1,4.8,-1.0,-2.1,9.9,6.7,4.0,7.0,5.9,8.2,7.0,6.9,6.9,4.3,4.0,6.4,4.8,6.8,6.2,7.2,6.9,9.0,7.9,7.8,7.4,8.0,8.0,7.8,8.0,7.6,7.3,7.0,6.9,6.3,4.7,-0.4,2.1,2.3,4.0,6.14397869539443,6.14397869539443,6.14397869539443,6.14397869539443,6.14397869539443
Latvia,1.8,0.1,0.6,1.7,2.5,2.2,2.7,2.6,3.8,3.6,2.7,1.4,1.4,-11.4,2.2,-2.1,2.6,8.8,6.3,2.8,5.7,6.3,7.1,8.4,8.3,10.7,12.0,9.9,-3.2,-14.3,-4.5,2.6,7.0,2.0,1.9,3.9,2.4,3.3,4.0,2.6,-2.2,4.1,2.0,0.4,2.5892139148348705,2.5892139148348705,2.5892139148348705,2.5892139148348705,2.5892139148348705
Lebanon,1.5,0.5,-36.8,22.7,44.5,24.3,-6.8,16.7,-28.2,-42.2,-13.4,38.2,4.5,7.0,8.0,6.5,4.0,10.2,3.9,-0.8,1.1,3.9,3.4,1.7,7.5,0.7,1.5,9.3,9.1,10.2,8.0,0.9,2.6,3.8,2.5,0.5,1.6,0.9,-1.9,-6.9,-25.9,2.6,2.6,2.6,2.3905884435414406,2.3905884435414406,2.3905884435414406,2.3905884435414406,2.3905884435414406
Lesotho,-0.8,3.1,5.6,3.0,4.3,3.3,4.1,2.1,7.7,5.5,5.2,4.8,6.2,3.8,4.5,2.8,4.9,3.5,1.4,1.6,4.9,3.3,1.6,4.1,2.4,3.1,4.4,5.0,3.8,0.4,5.1,5.1,5.1,1.8,2.1,3.2,1.9,-2.7,-1.3,-2.0,-3.9,2.1,2.1,2.2,1.3467902020620928,1.3467902020620928,1.3467902020620928,1.3467902020620928,1.3467902020620928
Liberia,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,2.8,4.4,-29.0,4.0,5.9,8.5,13.1,6.1,5.2,6.4,7.7,8.4,8.8,0.7,0.0,-1.6,2.5,1.2,-2.5,-3.0,5.0,4.8,4.3,3.881813229877667,3.881813229877667,3.881813229877667,3.881813229877667,3.881813229877667
Libya,0.6,-20.0,1.5,-4.7,-8.3,0.6,-11.4,-14.7,7.6,7.2,3.7,18.3,-4.5,-5.5,3.2,-15.4,1.8,-2.6,-0.7,-0.2,4.0,2.6,-3.7,16.1,5.8,10.6,0.3,6.2,-0.2,-4.4,5.0,-50.3,86.8,-18.0,-23.0,-0.8,-1.5,32.5,7.9,-11.2,-29.5,28.3,-12.8,17.5,0.5765409351884873,0.5765409351884873,0.5765409351884873,0.5765409351884873,0.5765409351884873
Lithuania,1.8,0.1,0.6,1.7,2.5,2.2,2.7,2.6,3.8,3.6,2.7,1.4,1.4,-0.8,2.5,2.9,5.2,8.3,7.5,-1.1,3.7,6.5,6.8,10.6,6.6,7.7,7.4,11.1,2.6,-14.8,1.7,6.0,3.8,3.6,3.5,2.0,2.5,4.3,4.0,4.6,0.0,6.0,1.9,-0.3,3.233881251428983,3.233881251428983,3.233881251428983,3.233881251428983,3.233881251428983
Luxembourg,3.2,0.8,1.0,1.9,4.7,5.6,10.0,4.0,8.5,9.8,5.3,8.6,1.8,4.2,3.8,1.4,1.5,5.9,6.5,8.4,8.4,3.1,3.2,2.6,4.2,2.5,6.0,8.1,-0.3,-3.2,3.8,1.0,1.6,3.2,2.6,2.3,5.0,1.3,1.2,2.3,-0.8,5.1,1.5,1.1,3.6588786430107962,3.6588786430107962,3.6588786430107962,3.6588786430107962,3.6588786430107962
Macao SAR,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.9,11.6,26.6,8.1,13.4,14.5,3.4,1.3,25.1,21.6,9.2,10.8,-2.0,-21.5,-0.7,10.0,6.5,-2.5,-54.2,19.3,-26.8,58.9,7.277064328899313,7.277064328899313,7.277064328899313,7.277064328899313,7.277064328899313
Madagascar,0.8,-9.8,-1.9,0.9,1.8,1.2,2.0,1.2,3.4,4.1,3.1,-6.3,1.2,2.1,0.0,1.7,2.2,3.7,3.9,4.7,4.5,6.0,-12.4,9.8,5.3,4.8,5.4,5.7,6.7,-4.0,0.6,1.6,3.0,2.3,3.3,3.1,4.0,3.9,3.2,4.4,-7.1,5.7,4.2,4.2,2.004540708360096,2.004540708360096,2.004540708360096,2.004540708360096,2.004540708360096
Malawi,0.4,-5.2,2.5,3.7,5.4,4.6,-0.2,1.6,3.2,1.3,5.7,8.7,-7.3,9.7,-10.3,13.8,10.0,6.6,1.1,3.5,0.8,-4.1,1.8,5.7,5.4,3.3,4.7,9.6,7.6,8.3,6.9,4.9,1.9,5.2,5.7,3.0,2.3,4.0,4.4,5.4,0.9,4.6,0.8,2.4,3.50681314356593,3.50681314356593,3.50681314356593,3.50681314356593,3.50681314356593
Malaysia,7.4,6.9,5.9,6.3,7.8,-0.9,1.2,5.4,9.9,9.1,9.0,9.5,8.9,9.9,9.2,9.8,10.0,7.3,-7.4,6.1,8.7,0.5,5.4,5.8,6.8,5.0,5.6,6.3,4.8,-1.5,7.5,5.3,5.5,4.7,6.0,5.0,4.4,5.8,4.8,4.4,-5.5,3.1,8.7,4.5,5.529549883847437,5.529549883847437,5.529549883847437,5.529549883847437,5.529549883847437
Maldives,18.8,7.9,7.5,4.4,17.4,13.8,8.6,8.9,8.7,9.3,-4.0,6.9,6.5,5.4,7.5,7.4,9.1,10.4,9.8,7.2,4.8,3.5,6.1,25.4,6.0,-13.1,26.1,7.7,9.5,-7.2,7.3,8.6,2.5,7.3,7.3,2.9,6.3,7.2,8.1,6.9,-33.4,41.7,12.3,7.2,7.265296562899858,7.265296562899858,7.265296562899858,7.265296562899858,7.265296562899858
Mali,3.3,-4.5,-11.6,3.2,2.4,3.2,6.1,2.5,0.1,10.7,9.3,7.7,-1.6,3.6,3.8,3.0,7.3,4.8,2.9,6.2,-0.1,15.4,3.1,9.1,1.6,6.5,4.7,3.5,4.8,4.7,5.4,3.2,-0.8,2.3,7.1,6.2,5.9,5.3,4.7,4.8,-1.2,3.1,3.7,5.0,3.872722277066255,3.872722277066255,3.872722277066255,3.872722277066255,3.872722277066255
Malta,7.0,2.7,0.1,2.6,0.8,2.4,3.8,5.7,6.8,7.1,4.7,5.9,8.1,3.9,4.6,6.9,4.0,4.8,3.4,3.8,-1.0,-1.2,2.6,4.1,0.1,3.4,2.5,4.8,3.8,-1.1,5.5,0.5,4.1,5.5,7.6,9.6,3.4,10.9,6.2,7.0,-8.6,11.8,6.9,3.5,4.113621975864407,4.113621975864407,4.113621975864407,4.113621975864407,4.113621975864407
Marshall Islands,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-0.7,-1.1,1.5,6.7,3.7,-1.6,-0.3,2.3,-0.2,3.4,-6.4,2.6,6.8,-0.6,-2.2,3.9,-1.0,1.6,1.4,3.3,3.1,6.8,-1.6,1.7,1.3,3.0,1.4342042293513604,1.4342042293513604,1.4342042293513604,1.4342042293513604,1.4342042293513604
Mauritania,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,0.0,1.8,5.9,-3.1,9.8,5.8,-4.0,2.8,3.7,-3.9,-0.8,1.4,6.9,4.7,8.6,18.3,-2.0,-0.3,0.1,2.6,4.2,4.5,4.2,4.3,5.4,1.3,6.3,4.8,5.4,-0.9,2.4,5.0,4.4,3.5409042461077087,3.5409042461077087,3.5409042461077087,3.5409042461077087,3.5409042461077087
Mauritius,-10.1,5.9,5.5,0.4,4.8,6.9,9.7,10.2,6.8,4.5,7.2,4.4,6.5,5.1,4.1,4.3,5.6,5.7,6.1,2.6,8.2,3.2,1.6,6.0,4.3,1.5,4.5,5.7,5.4,3.3,4.4,4.1,3.5,3.4,3.8,3.7,3.9,3.9,4.0,2.9,-14.6,3.5,8.3,4.6,4.078367695355741,4.078367695355741,4.078367695355741,4.078367695355741,4.078367695355741
Mexico,9.5,8.5,-0.5,-3.5,3.4,2.2,-3.1,1.7,1.3,4.1,5.2,4.2,3.5,2.7,4.9,-6.3,6.8,6.8,5.2,2.8,4.9,-0.4,0.0,1.4,3.9,2.3,4.5,2.3,1.1,-5.3,5.1,3.7,3.6,1.4,2.8,3.3,2.6,2.1,2.2,-0.2,-8.0,4.7,3.1,1.8,2.324995020279004,2.324995020279004,2.324995020279004,2.324995020279004,2.324995020279004
"Micronesia, Fed. States of",6.3,5.9,5.1,7.0,7.5,6.6,6.2,7.2,9.3,6.3,5.9,6.1,8.9,9.0,9.3,8.9,-3.1,-6.1,2.7,1.5,4.9,2.1,0.6,1.6,-3.1,2.1,-0.1,-1.9,-2.2,1.0,2.3,3.2,-1.9,-3.7,-2.3,4.6,0.9,2.7,0.2,1.2,-1.8,-3.2,-0.6,2.8,2.8,2.8,2.8,2.8,2.8
Moldova,-0.8,-0.5,1.4,4.6,4.1,2.4,4.4,5.0,1.6,0.1,-0.4,-17.5,-29.7,-1.2,-30.9,-1.4,-5.9,1.6,-6.5,-3.4,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3.0,7.8,-6.0,7.1,5.8,-0.6,9.0,5.0,-0.3,4.4,4.2,4.1,3.6,-8.3,13.9,-5.6,2.0,0.3371214883976235,0.3371214883976235,0.3371214883976235,0.3371214883976235,0.3371214883976235
Mongolia,6.4,8.4,8.3,5.8,5.9,5.7,9.4,3.5,5.1,4.2,-2.5,-9.2,-9.3,-3.2,2.1,6.4,2.2,3.9,3.3,3.1,1.1,4.6,5.3,7.4,9.4,6.5,8.2,8.8,7.8,-2.1,7.3,17.3,12.3,11.6,7.9,2.4,1.5,5.6,7.7,5.6,-4.6,1.6,4.8,4.5,4.613003887002896,4.613003887002896,4.613003887002896,4.613003887002896,4.613003887002896
Montenegro,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1,4.1,-15.3,13.0,6.4,3.2,2.9685954058693795,2.9685954058693795,2.9685954058693795,2.9685954058693795,2.9685954058693795
Morocco,3.8,-2.8,9.6,-0.6,4.3,6.3,8.3,-2.5,10.4,2.4,4.0,7.2,-2.1,-0.7,10.6,-5.4,12.4,-1.6,7.2,1.1,1.9,7.3,3.1,6.0,4.8,3.3,7.6,3.5,5.9,4.2,3.8,5.2,3.0,4.5,2.7,4.3,0.5,5.1,3.1,2.9,-7.2,7.9,1.1,3.0,3.6195716784191787,3.6195716784191787,3.6195716784191787,3.6195716784191787,3.6195716784191787
Mozambique,4.2,5.0,-6.9,-15.7,-6.5,1.0,-2.3,14.7,8.2,6.5,1.0,6.6,-6.1,10.6,6.5,2.3,11.2,11.3,9.9,11.7,1.2,12.1,9.3,6.9,7.9,6.6,9.7,7.7,7.3,6.3,6.5,7.4,7.3,7.0,7.4,6.7,3.8,3.7,3.4,2.3,-1.2,2.3,4.1,5.0,4.852963559168425,4.852963559168425,4.852963559168425,4.852963559168425,4.852963559168425
Myanmar,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,8.4,12.4,12.5,9.9,13.2,15.3,13.6,13.3,12.5,7.6,4.4,5.2,5.5,6.5,7.9,8.2,7.5,6.4,5.8,6.4,6.8,3.2,-17.9,2.0,2.6,6.750584861005187,6.750584861005187,6.750584861005187,6.750584861005187,6.750584861005187
Namibia,1.9068181818181822,1.271111111111111,2.2733333333333334,1.4355555555555561,2.188888888888889,4.17111111111111,3.4622222222222225,2.7755555555555556,4.9511111111111115,3.6755555555555555,2.9644444444444447,5.3,9.3,-1.6,3.0,4.1,3.2,4.2,3.3,3.4,3.5,2.4,6.7,3.5,6.6,4.7,3.9,3.6,2.6,0.3,6.0,5.1,5.1,5.6,6.1,4.3,0.0,-1.0,1.1,-0.8,-8.0,2.7,3.8,2.8,3.075671698232775,3.075671698232775,3.075671698232775,3.075671698232775,3.075671698232775
Nauru,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,-8.0,-8.3,-6.8,63.3,-6.0,-0.3,9.3,30.6,5.0,14.7,-5.7,8.0,-5.9,7.2,9.1,4.1,2.7,3.0,1.0,4.022722202490118,4.022722202490118,4.022722202490118,4.022722202490118,4.022722202490118
Nepal,-2.3,8.3,3.8,-3.0,9.7,6.1,4.6,1.7,7.7,4.3,4.6,6.4,4.1,3.8,8.2,3.5,5.3,5.3,2.9,4.5,6.1,5.6,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,4.8,3.4,4.7,3.5,6.0,4.0,0.4,9.0,7.6,6.7,-2.4,4.2,5.8,4.4,4.424979198215942,4.424979198215942,4.424979198215942,4.424979198215942,4.424979198215942
Netherlands,2.0416666666666665,-0.5,-1.3,1.8,3.1,2.7,3.1,1.9,4.6,4.5,4.2,2.5,1.6,1.3,3.0,2.8,3.5,4.3,4.7,5.0,4.2,2.3,0.2,0.2,2.0,2.0,3.5,3.8,2.2,-3.7,1.3,1.5,-1.0,-0.1,1.4,2.0,2.2,2.9,2.4,2.0,-3.9,4.9,4.5,1.0,2.0984935329404526,2.0984935329404526,2.0984935329404526,2.0984935329404526,2.0984935329404526
New Zealand,1.0,3.0,2.9,-0.1,6.9,1.2,1.8,2.4,0.6,0.4,0.0,-1.3,0.7,5.2,5.6,4.9,4.1,2.5,0.4,4.5,4.2,2.5,4.7,4.4,4.8,3.2,2.8,3.5,-0.3,-1.1,1.8,1.8,2.5,2.3,3.8,3.7,3.9,3.5,3.5,3.1,-1.5,6.1,2.4,1.1,2.5772676997457866,2.5772676997457866,2.5772676997457866,2.5772676997457866,2.5772676997457866
Nicaragua,4.6,5.4,-0.8,4.6,-1.6,-4.1,-1.0,-0.7,-12.4,-1.7,-0.1,-0.2,0.4,-0.4,5.0,5.9,6.3,4.0,3.7,7.0,4.1,3.0,0.8,2.5,5.3,4.3,3.8,5.1,3.4,-3.3,4.4,6.3,6.5,4.9,4.8,4.8,4.6,4.6,-3.4,-3.8,-1.8,10.3,4.0,3.0,2.3658013649955985,2.3658013649955985,2.3658013649955985,2.3658013649955985,2.3658013649955985
Niger,4.9,-0.2,2.2,-3.9,-16.8,7.7,6.4,0.1,6.9,1.0,-1.3,-0.4,2.0,0.3,1.9,2.5,0.1,1.5,10.0,-0.2,-1.2,7.3,4.9,2.2,0.4,7.3,5.9,3.1,7.7,2.0,8.6,2.4,10.5,5.3,6.6,4.4,5.7,5.0,7.0,6.1,3.5,1.4,11.1,6.1,4.847865102834356,4.847865102834356,4.847865102834356,4.847865102834356,4.847865102834356
Nigeria,1.9068181818181822,1.271111111111111,2.2733333333333334,1.4355555555555561,2.188888888888889,4.17111111111111,3.4622222222222225,2.7755555555555556,4.9511111111111115,3.6755555555555555,2.9644444444444447,-0.6,2.2,1.6,0.3,1.9,4.1,2.9,2.5,0.5,5.5,6.7,14.6,9.5,10.4,7.0,6.7,7.3,7.2,8.4,11.3,4.9,4.3,5.4,6.3,2.7,-1.6,0.8,1.9,2.2,-1.8,3.6,3.3,3.2,3.8855612807179125,3.8855612807179125,3.8855612807179125,3.8855612807179125,3.8855612807179125
North Macedonia ,-0.8,-0.5,1.4,4.6,4.1,2.4,4.4,5.0,1.6,0.1,-0.4,-5.7,-8.7,-7.5,-1.8,-1.1,1.2,1.4,3.4,4.3,4.5,-3.1,1.5,2.2,4.7,4.7,5.1,6.5,5.5,-0.4,3.4,2.3,-0.5,2.9,3.6,3.9,2.8,1.1,2.9,3.9,-4.7,3.9,2.2,1.4,1.472456964150151,1.472456964150151,1.472456964150151,1.472456964150151,1.472456964150151
Norway,4.5,1.6,0.2,4.0,6.1,5.6,4.0,1.8,-0.3,1.0,1.9,3.1,3.6,2.8,5.1,4.2,5.0,5.3,2.7,2.1,3.3,2.1,1.4,0.9,4.0,2.7,2.5,2.9,0.5,-1.9,0.8,1.1,2.7,1.0,2.0,1.9,1.2,2.5,0.8,1.1,-1.3,3.9,3.3,2.1,2.4391916576754165,2.4391916576754165,2.4391916576754165,2.4391916576754165,2.4391916576754165
Oman,6.1,17.1,11.5,15.9,13.9,14.5,2.1,-4.0,5.2,3.0,8.4,6.0,8.5,6.1,3.8,4.8,2.9,6.2,2.7,0.3,6.2,4.6,-0.8,-2.2,2.0,2.8,4.7,5.0,9.0,6.0,2.5,2.9,8.9,5.2,1.3,5.0,5.0,0.3,1.3,-1.1,-3.2,2.9,4.3,1.7,2.565448024165755,2.565448024165755,2.565448024165755,2.565448024165755,2.565448024165755
Pakistan,6.9,6.2,7.6,6.8,4.0,8.7,6.4,5.8,6.4,4.8,4.6,5.1,7.6,2.1,4.4,5.1,6.6,1.7,3.5,4.2,3.9,2.0,3.1,4.7,7.5,9.0,5.8,5.5,5.0,0.4,2.6,3.6,3.8,3.7,4.1,4.1,4.6,4.6,6.1,3.1,-0.9,5.7,6.0,0.5,3.5604939905282653,3.5604939905282653,3.5604939905282653,3.5604939905282653,3.5604939905282653
Palau,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,6.5,5.1,-3.4,4.1,3.7,0.0,0.9,-5.3,-6.8,-1.7,4.1,1.9,-1.6,4.4,9.6,3.7,-3.4,0.0,0.4,-7.5,-12.1,-2.9,8.7,1.5245629207311742,1.5245629207311742,1.5245629207311742,1.5245629207311742,1.5245629207311742
Panama,4.5,9.2,5.3,-4.5,2.7,4.9,3.6,-1.8,-13.4,1.6,8.1,9.4,8.2,5.5,2.8,1.8,7.4,6.5,7.3,3.9,2.7,0.6,2.2,4.2,7.5,7.2,8.5,12.1,9.9,1.2,5.8,11.3,9.8,6.9,5.1,5.7,5.0,5.6,3.7,3.0,-17.9,15.3,10.0,5.0,4.622722333669125,4.622722333669125,4.622722333669125,4.622722333669125,4.622722333669125
Papua New Guinea,-2.3,1.1,0.8,3.4,-1.0,3.6,5.7,2.8,2.9,-1.4,-3.1,9.6,13.8,13.3,10.5,-3.4,6.6,-6.3,4.7,1.9,-2.5,-0.1,-0.2,9.0,0.6,4.3,2.5,7.8,-0.3,6.8,10.1,1.1,4.7,3.8,13.5,6.6,5.5,3.5,-0.3,4.5,-3.2,0.1,4.5,3.7,3.3909039319601564,3.3909039319601564,3.3909039319601564,3.3909039319601564,3.3909039319601564
Paraguay,11.7,9.2,-1.4,-3.0,2.8,3.9,0.3,4.1,5.9,5.8,4.1,3.5,1.7,4.9,5.3,6.8,1.6,4.2,0.1,-1.4,-2.3,-0.8,0.0,4.3,4.1,2.1,4.8,5.4,6.5,-0.3,11.1,4.3,-0.7,8.3,5.3,3.0,4.3,4.8,3.2,-0.4,-0.8,4.0,0.2,4.5,3.355045447643836,3.355045447643836,3.355045447643836,3.355045447643836,3.355045447643836
Peru,7.7,5.5,-0.3,-9.3,3.8,2.1,12.1,7.7,-9.4,-13.4,-5.1,2.2,-0.5,5.2,12.3,7.4,2.8,6.5,-0.4,1.5,2.7,0.6,5.5,4.2,5.0,6.3,7.5,8.5,9.1,1.1,8.3,6.3,6.1,5.9,2.4,3.3,4.0,2.5,4.0,2.2,-11.0,13.6,2.7,2.4,3.241541883631546,3.241541883631546,3.241541883631546,3.241541883631546,3.241541883631546
